RhythmScore,AudioLoudness,VocalContent,AcousticQuality,InstrumentalScore,LivePerformanceLikelihood,MoodScore,TrackDurationMs,Energy,BeatsPerMinute
0.513079985,-7.811659362,0.07101258,0.064564449,0.109494699,0.316042316,0.736928758,328639.3188,0.5562,117.0924388
0.775392741,-6.819409182,0.0235,0.510598693,0.187497761,0.024360763,0.259488169,271967.9826,0.410533333,122.0022793
0.63640765,-19.78224843,0.063450951,0.427860695,0.002225973,0.0243,0.054848079,186147.0029,0.533333333,149.1306157
0.232190132,-14.95729888,0.0235,0.076267984,1.07e-06,0.228454318,0.744650416,321734.9723,0.658533333,95.83217783
0.75856447,-4.715965921,0.0235,0.263551325,0.414794268,0.197167352,0.966592199,179973.3982,0.230466667,125.6962632
0.830016357,-9.263346394,0.124859818,0.070884108,0.170832242,0.267107342,0.18494028,297103.0254,0.948133333,167.2997078
0.544237453,-9.393748392,0.108045546,0.692833072,1.07e-06,0.407637158,0.302532921,317800.0981,0.259733333,111.6236491
0.871747997,-14.00746487,0.076457134,0.22667932,0.241654901,0.188975541,0.079807711,85243.94738,0.4246,93.36510572
0.586096519,-6.968102067,0.0235,0.332118248,0.116238232,0.196465121,0.38457869,320190.2355,0.752466667,118.4336611
0.545845901,-20.60976398,0.0235,0.434465154,0.051855065,0.135897361,0.772038015,197148.5931,0.063,134.6819538
0.533444489,-7.783732707,0.091867951,0.223227467,0.498368024,0.215371339,0.499180849,193441.6757,0.534733333,143.6702562
0.804634655,-6.391596007,0.091904485,0.19063835,1.07e-06,0.107462584,0.425896661,250210.6028,0.4176,106.8151132
0.792721019,-11.24522151,0.060965268,0.253081544,1.07e-06,0.170880384,0.296497065,227238.4263,0.165266667,138.5758902
0.52916137,-21.57121937,0.096986132,5.36e-06,0.451716844,0.299500308,0.529903242,170272.5257,0.754,107.8724589
0.790044301,-3.487727911,0.0673999,0.071035784,0.241746807,0.389510188,0.292845834,198039.0552,0.176466667,160.4709919
0.300025506,-8.648067043,0.03442957,5.36e-06,0.282396628,0.0243,0.82819368,244233.0436,0.8538,135.037906
0.601433332,-16.74591962,0.0235,0.005541884,1.07e-06,0.0243,0.856179834,347506.3528,0.984066667,142.2324155
0.511458405,-1.870949999,0.0235,5.36e-06,0.305217886,0.0243,0.732905561,330335.7135,0.803133333,117.5568963
0.820218713,-8.152043014,0.10871437,0.735370438,1.07e-06,0.0243,0.663298931,266638.5476,0.509666667,155.0095839
0.463225648,-3.569574166,0.05260414,5.36e-06,0.537988593,0.250139226,0.720685103,361352.566,0.979066667,137.6586231
0.444764445,-1.357,0.026957658,0.813784471,1.07e-06,0.268351214,0.918115597,203026.1363,0.144866667,94.10112235
0.815422634,-13.04067951,0.058152737,0.069710212,1.07e-06,0.237146496,0.0256,283257.3121,0.757066667,125.8096165
0.585917242,-1.946266671,0.081473112,0.446077207,0.426285047,0.408256134,0.76199498,127742.59,0.499466667,191.2966266
0.51182569,-1.889084198,0.144223536,0.24648752,0.007909244,0.0243,0.583971912,296329.2548,0.9766,124.8683892
0.697941925,-1.540493839,0.055375522,5.36e-06,0.11383429,0.319151943,0.764930012,325845.7306,0.762466667,145.18825
0.432853936,-17.33922093,0.099126155,5.36e-06,0.179954035,0.0243,0.328887839,337734.3106,0.941533333,106.5332695
0.664430014,-12.83359513,0.135060367,0.732604907,1.07e-06,0.112330046,0.638071865,198851.9283,0.019866667,141.8576283
0.638987398,-4.411984518,0.0235,0.85768236,0.167049762,0.0243,0.496114632,158262.7811,0.297,113.4383421
0.317752013,-3.66173509,0.0235,0.246931381,0.381298634,0.0243,0.471140401,251492.7623,0.875,71.44439633
0.539240362,-15.12730439,0.052964628,0.537211487,1.07e-06,0.471568729,0.664492945,259066.6624,0.016133333,107.967941
0.919932846,-8.619589921,0.0235,0.090975004,1.07e-06,0.23745393,0.40213514,145474.9292,0.577733333,130.1491349
0.592182621,-7.430610996,0.0235,0.504076542,0.1262748,0.283560335,0.423594148,189353.2979,0.267466667,185.4272195
0.708301862,-5.100913258,0.077244009,5.36e-06,0.063694407,0.161510984,0.63422373,252198.657,0.429066667,73.20519626
0.549479741,-6.914181943,0.208449883,0.399217361,1.07e-06,0.344732654,0.769076533,90215.12895,0.940066667,96.49136366
0.558238844,-1.357,0.074701685,0.002541915,0.069031452,0.0243,0.716199323,225566.9977,0.768733333,107.6980351
0.592593288,-9.424742908,0.187318346,5.36e-06,3.54e-06,0.047664608,0.597967953,141084.6189,0.430466667,146.1127367
0.653128429,-6.601484469,0.097959175,5.36e-06,1.07e-06,0.138782546,0.380362384,230520.1279,0.334933333,92.88150687
0.591710473,-10.48763613,0.0235,0.604221134,0.069592014,0.267908645,0.546086759,186983.2906,0.042266667,133.0259343
0.402639659,-7.101861646,0.0235,0.386075012,0.043970876,0.138342952,0.439127502,242040.1717,0.8084,104.095588
0.668532012,-1.357,0.156906452,0.207505904,1.07e-06,0.0243,0.525130211,161393.6484,0.867133333,137.3850777
0.772086718,-12.93840213,0.038702476,0.607255677,0.20432427,0.340087105,0.33013694,273113.6402,0.0128,125.2777547
0.667760242,-14.68023633,0.0235,0.160385826,1.07e-06,0.141631555,0.272339276,238604.8645,0.829,138.4630362
0.568933263,-10.44671553,0.055523394,0.255752042,1.07e-06,0.0243,0.704378076,248138.7129,0.704266667,130.3648059
0.770909618,-1.357,0.0235,0.63019717,0.199334172,0.148976879,0.567454333,121295.8143,0.225333333,171.667448
0.975,-10.51177198,0.046265795,0.806772511,1.07e-06,0.244572659,0.35588247,255446.999,0.0514,117.0736235
0.648544385,-6.826249568,0.275460977,0.084880209,1.07e-06,0.0243,0.665945947,276617.0653,0.8526,91.86823163
0.295737142,-1.357,0.0235,0.456432003,1.07e-06,0.397983253,0.978,296691.4173,0.8184,151.3515528
0.360290324,-10.18369825,0.0235,0.597716537,0.463670213,0.125581035,0.462673799,334916.7444,0.2856,138.1253642
0.39504377,-5.591441411,0.174457629,0.216805184,1.07e-06,0.428396973,0.414833434,393388.6146,0.651866667,90.65913943
0.543111488,-12.02991796,0.0235,5.36e-06,0.153247693,0.076331991,0.623690569,214117.0401,0.481266667,106.0517965
0.707640581,-8.268380513,0.0235,0.270029623,0.228053242,0.052017893,0.408304866,162967.5498,0.546466667,180.6615992
0.52355708,-5.753183318,0.163491948,0.381313598,1.07e-06,0.174385922,0.297664278,201852.6833,0.9922,140.2761651
0.623148384,-10.31557143,0.089119084,0.352675972,0.025429517,0.180667736,0.0256,112897.2836,0.761333333,117.5190583
0.806808428,-3.616482443,0.052343736,0.260561933,1.07e-06,0.082503765,0.54226251,227071.7786,0.476933333,155.0422603
0.746855261,-17.09963497,0.0235,0.20462806,0.036392933,0.214839691,0.316395592,425280.089,0.365333333,83.11968838
0.456803361,-4.947052187,0.095513097,0.055417151,1.07e-06,0.0243,0.656971095,296047.1643,0.968,77.45959887
0.434291979,-10.88019893,0.0235,0.154497309,0.381179449,0.230300242,0.307193538,179432.1833,0.879666667,136.4619521
0.280616713,-15.84968283,0.120718669,5.36e-06,0.126043822,0.0243,0.476679908,287200.3766,0.9456,127.085903
0.255046646,-5.988696529,0.085789381,0.451611377,0.091054735,0.0243,0.754546883,197085.4018,0.903666667,135.0277643
0.975,-12.49636877,0.089693829,0.35482334,0.069659992,0.129546025,0.974227195,401633.0775,0.033133333,107.3522034
0.432434821,-11.55078262,0.0235,0.465192898,0.407105664,0.040697993,0.711827151,346822.9609,0.778866667,131.6817915
0.786647943,-11.48587334,0.059147892,0.309500856,1.07e-06,0.460611775,0.561708534,209826.7379,0.086533333,107.4373923
0.671970183,-11.7158094,0.109899417,0.442474642,1.07e-06,0.186782443,0.365575271,271478.3191,0.127333333,126.9897953
0.54471059,-1.357,0.0235,0.086463195,1.07e-06,0.153266881,0.67050658,208120.6317,0.745466667,92.7234279
0.833370339,-9.810052496,0.0235,0.682617144,0.588552208,0.129385154,0.825405287,146354.4439,0.129733333,137.8511825
0.620116056,-13.19146125,0.081811194,0.244128397,0.054876089,0.333336456,0.20976451,204573.1461,0.146466667,108.4573857
0.80604916,-9.841606203,0.121866825,0.895343555,1.07e-06,0.0243,0.955172603,161596.9386,0.492733333,137.4338414
0.824632847,-13.55668423,0.147314743,0.075613497,0.067559314,0.506519196,0.278507902,227920.4951,0.474133333,99.05874068
0.553741615,-6.394649631,0.113541408,5.36e-06,0.166066035,0.201722998,0.0256,324507.9954,0.735466667,146.4901075
0.770889621,-1.357,0.074406808,0.388285273,1.07e-06,0.367244277,0.618732198,172398.3802,0.3578,115.1007371
0.686112676,-1.357,0.147201689,0.258338318,0.183389961,0.250172446,0.148889371,235714.2664,0.701333333,117.5688703
0.481018177,-9.379148278,0.160380043,5.36e-06,1.07e-06,0.030002932,0.403376219,320944.6041,0.740533333,164.6201402
0.28846886,-15.112749,0.07070406,5.36e-06,0.05138514,0.204852702,0.744773489,232744.4788,0.786666667,147.3425854
0.616219127,-20.27100449,0.0235,0.598173614,1.07e-06,0.163250672,0.328683434,184753.2746,0.281466667,107.2573378
0.504817237,-14.52792698,0.060117769,5.36e-06,0.190785989,0.203249246,0.781375339,168950.1865,0.55,107.1050678
0.446782455,-13.51909688,0.051500954,5.36e-06,1.07e-06,0.034251602,0.186234781,273230.4422,0.676933333,112.8786704
0.894750162,-7.346935988,0.10871006,0.19099863,1.07e-06,0.096222608,0.701549685,259989.3513,0.4262,122.8366143
0.552981261,-3.188322564,0.0235,0.661560915,0.149831794,0.360380899,0.455753519,205280.7542,0.4162,80.15728297
0.542801568,-11.33528378,0.123302851,0.08928244,1.07e-06,0.182542739,0.025668675,313845.5496,0.872466667,152.3563485
0.807798648,-14.38496227,0.0235,0.630260063,0.296632138,0.345994068,0.0256,261004.8519,0.3752,87.70257447
0.725963641,-6.82761481,0.104318079,0.131940829,0.153310179,0.205431577,0.919949933,263720.4472,0.118666667,138.1619953
0.797977747,-9.612121424,0.136741938,0.582622082,0.294259569,0.0243,0.590171677,93840.76578,0.679866667,144.0843263
0.609010257,-3.619183879,0.150638307,0.188427986,0.079467665,0.0243,0.449167058,237172.7589,0.444933333,80.94697232
0.296343159,-12.52558451,0.038633368,5.36e-06,1.07e-06,0.209039184,0.114508582,235670.4521,0.800333333,142.2606376
0.286215557,-7.845633981,0.090473292,0.412167848,1.07e-06,0.0243,0.514427915,390090.975,0.952666667,53.88316191
0.701415809,-5.580975499,0.083469196,5.36e-06,0.204909463,0.398077398,0.926636118,286161.6777,0.662,81.83296199
0.427232488,-7.54458846,0.0235,0.72265311,1.07e-06,0.362190482,0.624429456,177696.5354,0.2846,198.6108305
0.552281559,-6.516011279,0.101130146,5.36e-06,0.191415611,0.0243,0.318543343,265496.7079,0.527266667,107.7821653
0.748336446,-5.804208774,0.10786316,0.088677463,0.118356197,0.196485583,0.448335362,180439.2917,0.031133333,128.5966842
0.432770364,-10.99670802,0.161149596,0.547329191,0.001133531,0.101825365,0.808359562,228590.5845,0.071533333,155.9463735
0.523940186,-1.357,0.168267629,0.372144574,1.07e-06,0.0243,0.529756805,195135.2934,0.982133333,155.5182818
0.686008557,-9.471351152,0.227472451,0.000746601,1.07e-06,0.37086644,0.505862694,238381.3582,0.2736,139.7671758
0.785845568,-8.700846019,0.053507678,0.150894549,1.07e-06,0.0243,0.718621006,206497.506,0.7426,58.25433799
0.754512119,-16.82755943,0.089905427,0.118144893,0.120057534,0.160884367,0.789455852,255245.9759,0.393133333,113.4103094
0.816705478,-1.357,0.155710074,0.117130434,0.233202392,0.083192694,0.343576263,156973.9458,0.8198,124.4206694
0.326518217,-2.375841365,0.068780874,0.12548147,0.350648307,0.115829627,0.512456939,217087.0382,0.8796,118.7253241
0.544117231,-6.724368152,0.109163219,0.399107425,0.226073448,0.087941535,0.618381704,115443.8034,0.7348,121.1656461
0.417052692,-9.811836332,0.025790377,0.463916895,0.272690456,0.313381504,0.621523699,153603.0322,0.148333333,129.1268108
0.37388698,-10.31956567,0.064299705,0.416622478,0.233119228,0.0243,0.445035023,231583.1261,0.873133333,149.9395595
0.586561488,-17.58014591,0.064546774,0.408948032,1.07e-06,0.162711461,0.524839547,219322.4777,0.151,110.7553846
0.536503261,-10.94864925,0.143282583,5.36e-06,1.07e-06,0.194834281,0.210358139,249056.6958,0.7988,108.7582313
0.905672121,-12.88391232,0.068506248,5.36e-06,0.575802461,0.49451625,0.633777136,288565.8473,0.8676,144.8308789
0.763937723,-7.701119327,0.0235,0.614030225,0.333394531,0.2149248,0.730892578,293567.7241,0.0168,98.90529021
0.638222853,-1.357,0.087252888,0.882253943,1.07e-06,0.160942884,0.046785431,163887.4485,0.3926,145.1748046
0.700563626,-9.448884193,0.0235,5.36e-06,0.147987668,0.345986372,0.438725239,190397.4713,0.173533333,135.9288501
0.492352266,-4.91610079,0.0235,0.698334847,0.072660962,0.046593487,0.616162225,272690.8692,0.497333333,110.4443571
0.832641218,-1.357,0.206666781,0.495602882,0.068556628,0.129335639,0.978,254802.6856,0.753666667,127.1149391
0.542317976,-12.2951587,0.148143478,5.36e-06,1.07e-06,0.066264566,0.573564235,276089.6026,0.811666667,126.0689256
0.685819346,-12.57387335,0.121232065,0.374432875,0.014975628,0.135132946,0.14893888,236529.3563,0.293666667,86.60847106
0.775546924,-12.30979706,0.031886004,0.519013075,1.07e-06,0.151430541,0.571033085,298409.3267,0.007933333,111.2193955
0.397258926,-5.637310934,0.0235,0.032377758,0.011279022,0.0243,0.621332838,266245.8414,0.656933333,157.748441
0.818289144,-4.875142551,0.0235,0.448571586,1.07e-06,0.158904147,0.452658666,298046.8502,0.7446,136.0128925
0.402362506,-8.854956249,0.117335517,0.761659224,1.07e-06,0.310580648,0.666867454,269084.1185,0.1488,157.6944723
0.662812886,-20.30612441,0.076940514,0.091010728,0.051405243,0.186725575,0.613403999,228525.2231,0.542066667,67.90760569
0.75433372,-5.686782342,0.057355788,0.857791031,1.07e-06,0.074447628,0.577598506,222090.9368,0.0334,132.4701024
0.325907288,-8.474623119,0.0235,0.270928915,1.07e-06,0.181606802,0.595876562,253037.4305,0.436333333,131.5339758
0.619702989,-11.9303637,0.0235,0.411733728,1.07e-06,0.35987819,0.25404928,125832.4698,0.1422,168.6156229
0.752496562,-6.235967771,0.106819887,5.36e-06,0.041816639,0.37241983,0.425745141,406204.1617,0.586266667,130.291888
0.601711013,-1.357,0.124556451,5.36e-06,0.056526025,0.175138372,0.777102774,113556.2418,0.574466667,176.6191583
0.765607018,-17.44796841,0.106512975,0.43586454,1.07e-06,0.250194508,0.611226382,138165.5685,0.09,107.0878649
0.745284113,-14.05968474,0.090536532,0.105863681,0.191428265,0.234749257,0.978,181771.1796,0.0816,164.8736872
0.442037375,-8.952144429,0.24370398,0.409373988,1.07e-06,0.257295317,0.44078185,341061.3023,0.086,128.5089423
0.858547386,-17.00168572,0.119480813,0.076451593,0.014389835,0.27574815,0.556688959,325520.4546,0.6062,121.4361715
0.921438552,-13.16741823,0.169696049,0.208739852,0.676152538,0.067615204,0.436086987,248878.24,0.4898,144.1564033
0.311185679,-14.1457207,0.0235,0.556913895,0.158273736,0.078381034,0.111655484,312396.2601,0.857866667,114.8628347
0.646255612,-5.961933257,0.0235,0.383739095,1.07e-06,0.27514744,0.499837288,326171.0633,0.770466667,147.8738074
0.740799035,-1.357,0.0235,5.36e-06,0.185697591,0.132231137,0.49350301,271750.5363,0.8374,97.09910428
0.815698375,-2.617804101,0.076077916,0.544304235,1.07e-06,0.304716361,0.678366144,286434.4592,0.325933333,130.6679
0.821877461,-1.357,0.092485888,0.380144672,0.214597145,0.05802686,0.55640168,267392.6577,0.563933333,124.8095905
0.308536685,-10.17617534,0.13656479,5.36e-06,0.041510229,0.257103229,0.682364446,218705.3768,0.673866667,144.0426264
0.722531828,-12.48001462,0.113156321,0.557701107,1.07e-06,0.247598318,0.589812044,359073.8403,0.0482,70.6640864
0.180321213,-7.891093151,0.0235,0.260665266,0.295569906,0.0243,0.309020059,269538.3416,0.866466667,119.900938
0.687780181,-4.070071058,0.0235,0.449010389,0.412822231,0.0243,0.346426664,278837.0362,0.324133333,129.6588863
