房源标题,网页网址,性别要求,房屋类型,合租/整租,地址,每月租金,出租时长,时间,学校,出租方式,房源,联系方式
24fall看过来 地铁站附近有阳台,https://www.gangpiaoquan.com/Rent/info/id/112920.html,女性,洋楼,合租,新界/大围/沙田,5200.0,长租,2024-08-31,港中文,,港漂圈,微信 Gorgeous-06-07
雲匯 白石角科學園8月預租,https://www.gangpiaoquan.com/Rent/info/id/112993.html,男女皆可,其他,整租,新界/大围/沙田,19000.0,长租,2024-08-20,港中文,,港漂圈,微信 wc1829137333
大围名城转租。已经住了一年，续租了，是双人房有个小阳台风景很好，舍友是个人很好的女孩子。但因下一年换校区这边对我来说不是,https://www.gangpiaoquan.com/Rent/info/id/112950.html,女性,酒店式公寓,整租,新界/大围/沙田,5300.0,长租,2024-08-18,港中文,,港漂圈,微信 18022038563
24fall近城大浸会大学秋季入住预租中,https://www.gangpiaoquan.com/Rent/info/id/112564.html,男女皆可,洋楼,合租,新界/大围/沙田,7100.0,长租,2024-08-18,港中文,,港漂圈,微信 yyy88nn99
24fall大围名城秋季入住包水电网预租选择多,https://www.gangpiaoquan.com/Rent/info/id/112568.html,男女皆可,洋楼,合租,新界/大围/沙田,5600.0,长租,2024-08-18,港中文,,港漂圈,微信 yyy88nn99
大围名城豪华公寓包水电网近城大浸会中大,https://www.gangpiaoquan.com/Rent/info/id/113176.html,男女皆可,洋楼,合租,新界/大围/沙田,7400.0,长租,2024-08-18,港中文,,港漂圈,微信 niki102678
大围金狮花园二期兩房， 八月底起租，租期: 1年 (17/8/2024-16/8/2025）,https://www.gangpiaoquan.com/Rent/info/id/110552.html,男女皆可,洋楼,整租,新界/大围/沙田,13500.0,长租,2024-08-17,港中文,,港漂圈,微信 62816381
大围一分钟铁路站，富嘉花园，家面园景，旺中带静。业主盘，拎包入住，月租HKD$4000起，全屋只住4人，客厅不住人,https://www.gangpiaoquan.com/Rent/info/id/113332.html,男女皆可,洋楼,整租,新界/大围/沙田,19000.0,长租,2024-08-15,港中文,,港漂圈,微信 Charmain1112
大围名城预售,https://www.gangpiaoquan.com/Rent/info/id/112586.html,男女皆可,酒店式公寓,合租,新界/大围/沙田,7100.0,长租,2024-08-15,港中文,,港漂圈,微信 w43211011230
雲匯 白石角科學園8月預租,https://www.gangpiaoquan.com/Rent/info/id/112994.html,男女皆可,其他,整租,新界/大围/沙田,27000.0,长租,2024-08-15,港中文,,港漂圈,微信 wc1829137333
学生租房 大围金狮花园 二房齐家俬,https://www.gangpiaoquan.com/Rent/info/id/113408.html,男女皆可,其他,整租,新界/大围/沙田,14000.0,长租,2024-08-10,港中文,,港漂圈,微信 DDlam812
三房 好運中心最優質单位 齐家俬,https://www.gangpiaoquan.com/Rent/info/id/113390.html,女性,其他,整租,新界/大围/沙田,19500.0,长租,2024-08-10,港中文,,港漂圈,微信 DDlam812
学生租房 大围金狮花园 三房齐家俬,https://www.gangpiaoquan.com/Rent/info/id/113389.html,女性,其他,整租,新界/大围/沙田,18500.0,长租,2024-08-08,港中文,,港漂圈,微信 DDlam812
