参数3_链接文本,参数4_链接地址,rent number
香港房源转租马鞍山中心近中大教大,https://bbs.gter.net/forum.php?mod=viewthread&tid=2602809&extra=page%3D2%26filter%3Dauthor%26orderby%3Ddateline%26orderby%3Ddateline,
大围站1分钟 富嘉花园三室一厅找女生单间室友，大单间7000，中单间6500，室友是城大女生，水电平摊，家具齐全，可以只租半年，10个月，一年都可以，近港中文，,https://bbs.gter.net/forum.php?mod=viewthread&tid=2602732&extra=page%3D2%26filter%3Dauthor%26orderby%3Ddateline%26orderby%3Ddateline,
中大教大城大理大精選房整租/拼租，真3房，61平方米，可住4-5人，下樓三分钟通過商場,https://bbs.gter.net/forum.php?mod=viewthread&tid=2602713&extra=page%3D3%26filter%3Dauthor%26orderby%3Ddateline%26orderby%3Ddateline,
近中大39区、科学园，樟树滩村床位转租,https://bbs.gter.net/forum.php?mod=viewthread&tid=2602686&extra=page%3D3%26filter%3Dauthor%26orderby%3Ddateline%26orderby%3Ddateline,
大围 金狮花园包水电网煤阳光房转租（可小刀）,https://bbs.gter.net/forum.php?mod=viewthread&tid=2602665&extra=page%3D3%26filter%3Dauthor%26orderby%3Ddateline%26orderby%3Ddateline,
大围地铁站1分钟，富嘉花园整套转租，三室一厅骨折价转租到9月，随时起租，2个月起租，3个月 4个月都可以，直到9月骨折转租，水电网全包，家具齐全，拎包入住，租期,https://bbs.gter.net/forum.php?mod=viewthread&tid=2602656&extra=page%3D3%26filter%3Dauthor%26orderby%3Ddateline%26orderby%3Ddateline,
中大学生公寓家具齐全可以拎包入住,https://bbs.gter.net/forum.php?mod=viewthread&tid=2602652&extra=page%3D3%26filter%3Dauthor%26orderby%3Ddateline%26orderby%3Ddateline,
大围名城豪华公寓包水电网近城大浸会中大,https://bbs.gter.net/forum.php?mod=viewthread&tid=2602638&extra=page%3D3%26filter%3Dauthor%26orderby%3Ddateline%26orderby%3Ddateline,
大围柏傲庄地铁上盖 主卧独卫 招室友,https://bbs.gter.net/forum.php?mod=viewthread&tid=2602577&extra=page%3D4%26filter%3Dauthor%26orderby%3Ddateline%26orderby%3Ddateline,
香港大围名城5500～9800房型众多需要请联系,https://bbs.gter.net/forum.php?mod=viewthread&tid=2602576&extra=page%3D4%26filter%3Dauthor%26orderby%3Ddateline%26orderby%3Ddateline,5500.0
近中大 深圳 粉岭one innovale 开放式studio好价出租,https://bbs.gter.net/forum.php?mod=viewthread&tid=2602569&extra=page%3D4%26filter%3Dauthor%26orderby%3Ddateline%26orderby%3Ddateline,
火炭站港鐵上蓋星凱堤岸全新屋苑，全新裝修房間出租。,https://bbs.gter.net/forum.php?mod=viewthread&tid=2602536&extra=page%3D5%26filter%3Dauthor%26orderby%3Ddateline%26orderby%3Ddateline,
人均低至9450，近中大，五星酒店送自助早餐！,https://bbs.gter.net/forum.php?mod=viewthread&tid=2602534&extra=page%3D5%26filter%3Dauthor%26orderby%3Ddateline%26orderby%3Ddateline,9450.0
